Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,8887,Store/Depot/Warehouse,Church Road - Building At Rear Of 328,Church Road - Building At Rear Of 328 Church Road St George Bristol BS5 8AJ,328.0,Church Road,Bristol,BS5 8AJ,St George West,362287.0,173560.0,Freehold,,Land and Building(s),,0.003102,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2011, 2012, 2013, 2016, 2021, 2022",,
"Bristol, City of",7/1/2022,10275,Store/Depot/Warehouse,Blaise Castle - Horticultural Centre And Wood Fuel Store,Blaise Castle - Horticultural Centre And Wood Fuel Store Kings Weston Road Kingsweston Bristol BS11 0XF,,Kings Weston Road,Bristol,BS11 0XF,Avonmouth & Lawrence Weston,355137.0,178295.0,Leasehold,,Land and Building(s),1287.63,3.0,Yes,Direct Service,F,2000.0,,"2010, 2013, 2014, 2016, 2018, 2021, 2022",376095.6,
"Bristol, City of",7/1/2022,152,Primary School,Former Sea Mills Infants School ,Former Sea Mills Infants School  Hallen Drive Sea Mills Bristol BS9 2NT,,Hallen Drive,Bristol,BS9 2NT,Avonmouth & Lawrence Weston,355181.0,177313.0,Freehold,,Land and Building(s),1473.1,0.802288,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2011, 2012, 2013, 2016, 2021, 2022",735600.05,
"Bristol, City of",7/1/2022,88222,Store/Depot/Warehouse,2 Wellington Terrace - Basement Workshop,2 Wellington Terrace - Basement Workshop 2A Wellington Terrace Clifton Bristol BS8 4LE,,,,BS8 4LE,Clifton,356733.0,172854.0,Freehold,,Land and Building(s),,0.011359,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2016, 2019, 2021, 2024",,
"Bristol, City of",7/1/2022,7205,Shop/Kiosk,4 Gainsborough Square,4 Gainsborough Square Lockleaze Bristol BS7 9XA,4.0,Gainsborough Square,Bristol,BS7 9XA,Lockleaze,360926.0,177033.0,Freehold,,Land and Building(s),192.0,0.0289,,Investment Properties,F,2000.0,,"2014, 2015, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,6363,Public Conveniences,Southmead Former Public Conveniences,Southmead Former Public Conveniences Greystoke Avenue Southmead Bristol,,Greystoke Avenue,Bristol,BS10 ,Southmead,358232.0,178372.0,Freehold,Vacant,Land and Building(s),11.0,0.001311,,Surplus / Non-operational / Under Review,F,2000.0,,"2012, 2016, 2018, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,120939,Childrens Centre,St Annes Park Childrens Centre,St Annes Park Childrens Centre Lichfield Road St Annes Bristol BS4 4BJ,,Lichfield Road,Bristol,BS4 4BJ,Brislington East,362374.0,172462.0,Leasehold,,Land and Building(s),422.76,0.225292,Yes,Direct Service,E,1800.0,,"2010, 2016, 2021, 2024, 2025",291200.0,
"Bristol, City of",7/1/2022,120946,Childrens Centre,Broomhill Childrens Centre,Broomhill Childrens Centre Broomhill Infant School Fermaine Avenue Brislington Bristol BS4 4UY,,Fermaine Avenue,Bristol,BS4 4UY,Brislington East,362738.0,171300.0,Freehold,,Land and Building(s),,0.090572,Yes,Direct Service,,,,"2016, 2019, 2020, 2021, 2022",,
"Bristol, City of",7/1/2022,125946,Store/Depot/Warehouse,Gatehouse Way - Store At,Gatehouse Way - Store At Gatehouse Way Hartcliffe Bristol BS13 9AN,,Gatehouse Way,Bristol,BS13 9AN,Hartcliffe & Withywood,357425.0,168269.0,Freehold,,Land and Building(s),,0.004324,Yes,Direct Service,,,,"2014, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,10224,Public Conveniences,Durdham Down Circular Road - Public Conveniences,Durdham Down Circular Road - Public Conveniences Circular Road Clifton Bristol,,Circular Road,Bristol,BS9 1ZZ,Stoke Bishop,355953.0,174766.0,Freehold,,Land and Building(s),39.0,0.004675,Yes,Direct Service,G,2200.0,,"2011, 2015, 2016, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,133266,Primary School,Our Lady Of The Rosary Catholic Primary School - Playing Field,Our Lady Of The Rosary Catholic Primary School - Playing Field Broadlands Drive Lawrence Weston Bristol BS11 0PA,,Broadlands Drive,Bristol,BS11 0PA,Avonmouth & Lawrence Weston,354127.0,177986.0,Freehold,,Land only,,1.237319,Yes,Direct Service,,,,"2010, 2015, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,126270,Primary School,St Peters CE VC Primary School - School Buildings,St Peters CE VC Primary School - School Buildings Ellfield Close Bishopsworth Bristol BS13 8EF,,Ellfield Close,Bristol,BS13 8EF,Bishopsworth,356939.0,168732.0,Education Acts Agt,,Building(s) only,2773.35,0.947899,Yes,Direct Service,F,2000.0,,"2013, 2016, 2021, 2024",755119.77,
"Bristol, City of",7/1/2022,133307,Childrens Centre,Cashmore Early Years Centre,Cashmore Early Years Centre Cashmore House Bright Street Bristol BS5 9PN,,Bright Street,Bristol,BS5 9PR,Lawrence Hill,360937.0,173255.0,Freehold,,Land and Building(s),,0.023044,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2014, 2015, 2016, 2017, 2021",,
"Bristol, City of",7/1/2022,11484,Land-Cemetery,Arnos Vale Cemetery,Arnos Vale Cemetery Bath Road Brislington Bristol BS4 3EW,,Bath Road,Bristol,BS4 3EW,Knowle,360762.0,171584.0,Freehold,,Land only,,17.141814,Yes,Community,,,,"2012, 2016, 2021, 2022, 2024, 2025",,
"Bristol, City of",7/1/2022,133387,Primary School,Fishponds CE Academy,Fishponds CE Academy Fishponds Road Fishponds Bristol BS16 3UH,,Fishponds Road,Bristol,BS16 3UH,Frome Vale,363107.0,175787.0,Mixed Title,,Land and Building(s),,1.203404,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2015, 2016, 2018, 2021",,
"Bristol, City of",7/1/2022,9424,Offices,Arclight House,Arclight House 3 Unity Street City Centre Bristol BS1 5HH,3.0,Unity Street,Bristol,BS1 5HH,Central,358352.0,172887.0,Freehold,,Land and Building(s),0.0,0.033724,,Investment Properties,D,1600.0,"Meeting Rooms, Modern Kitchen","2010, 2016, 2020, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,126075,Land-Farm/Agriculture,St Werburghs City Farm,St Werburghs City Farm Watercress Road St Werburghs Bristol BS2 9YJ,,Watercress Road,Bristol,BS2 9YJ,Ashley,359915.0,175168.0,Freehold,,Land only,,0.856191,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2012, 2013, 2015, 2016, 2021",,
"Bristol, City of",7/1/2022,126077,Land-Farm/Agriculture,Land To Rear Of 58-78 Stottbury Road,Land To Rear Of 58-78 Stottbury Road Boiling Wells Lane St Werburghs City Farm Bristol BS2 9YJ,,Boiling Wells Lane,Bristol,BS2 9YJ,Lockleaze,360183.0,175272.0,Freehold,,Land only,,0.554036,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2016, 2021, 2022, 2025",,
"Bristol, City of",7/1/2022,120097,Land-Car/Lorry Park,Hotel Du Vin - Land For Car Parking,Hotel Du Vin - Land For Car Parking The Sugar House Lewins Mead Bristol BS1 2NU,,Narrow Lewins Mead,Bristol,BS1 2NU,Central,358644.0,173256.0,Freehold,,Land only,,0.008644,,Indirect Service / Non-Investment Letting(s),,,,"2013, 2014, 2015, 2016, 2021, 2024",,
"Bristol, City of",7/1/2022,4250,Offices,58 Queen Square,58 Queen Square City Centre Bristol BS1 4LF,58.0,Queen Square,Bristol,BS1 4LF,Central,358685.0,172602.0,Freehold,,Land and Building(s),180.0,0.0133,,Investment Properties,B,1200.0,"Modern Kitchen, Private Parking","2010, 2012, 2014, 2016, 2018, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,8247,Offices,Brunswick Square Kiosk,Brunswick Square Kiosk Brunswick Square St Pauls Bristol,,Brunswick Square,Bristol,BS2 ,Ashley,359258.0,173614.0,Freehold,Vacant,Land and Building(s),11.33,0.0,,Indirect Service / Non-Investment Letting(s),A,1000.0,"Meeting Rooms, Private Parking","2010, 2016, 2019, 2020, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,88091,Day Nursery,Bishopsworth Childrens Centre,Bishopsworth Childrens Centre 2 Lakemead Grove Bishopsworth Bristol BS13 8EA,2.0,Lakemead Grove,Bristol,BS13 8EA,Bishopsworth,356648.0,168680.0,Freehold,,Land and Building(s),172.5,0.034115,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2016, 2017, 2020, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,127553,Community Centre/Facilities,Walwyn Gardens - Community Room,Walwyn Gardens - Community Room 1-28 Walwyn Gardens Hartcliffe Bristol BS13 0EF,1.0,Walwyn Gardens,Bristol,BS13 0EF,Hartcliffe & Withywood,358471.0,167379.0,Freehold,,Land and Building(s),,0.010671,Yes,Direct Service,,,,"2011, 2012, 2015, 2016, 2021, 2024",,
"Bristol, City of",7/1/2022,79632,Childrens Centre,Four Acres Childrens Centre,Four Acres Childrens Centre Four Acres Withywood Bristol BS13 8RB,,Four Acres,Bristol,BS13 8RB,Hartcliffe & Withywood,356434.0,167824.0,Leasehold,,Land and Building(s),552.5,0.121267,Yes,Direct Service,G,2200.0,,"2010, 2016, 2021, 2023, 2024",291200.0,
"Bristol, City of",7/1/2022,120950,Childrens Centre,Oldbury Court Childrens Centre,Oldbury Court Childrens Centre Frenchay Road Oldbury Court Bristol BS16 2QS,,Frenchay Road,Bristol,BS16 2QS,Frome Vale,364251.0,177051.0,User Rights,,Building(s) only,445.8,0.083771,Yes,Direct Service,F,2000.0,,"2012, 2015, 2016, 2019, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,121264,Cafe/Restaurant,Ashton Court - Visitor Centre,Ashton Court - Visitor Centre Kennel Lodge Road Bristol BS3 2JT,,Kennel Lodge Road,Bristol,BS3 2JT,Outside Bristol,355741.0,171824.0,Freehold,,Land and Building(s),354.0,0.022483,Yes,Direct Service,E,1800.0,,"2012, 2016, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,139240,Land-Residential,Dursley Road - Land Adjoining 3 Winchcombe Grove,Dursley Road - Land Adjoining 3 Winchcombe Grove Dursley Road Shirehampton Bristol BS11 9RZ,,,,BS11 9RZ,Avonmouth & Lawrence Weston,353573.0,176454.0,Freehold,,Land only,,0.011736,Yes,Direct Service,,,,"2012, 2014, 2016, 2018, 2019, 2021, 2022, 2024",,
"Bristol, City of",7/1/2022,139118,Garage/Garages/Car Parking - Domestic,Robin Close Car Park,Robin Close Car Park Dutton Road  Stockwood Bristol BS14 8BL,,,,BS14 8BL,Stockwood,361627.0,168567.0,Freehold,,Land only,,0.178877,Yes,Direct Service,,,,"2011, 2016, 2020, 2021, 2022",,
"Bristol, City of",7/1/2022,138287,Land-Unused Land,Land At Rear Of 2 Rosemary Lane,Land At Rear Of 2 Rosemary Lane Rosemary Lane Eastville Bristol BS5 6YF,,,,BS5 ,Eastville,361226.0,174775.0,Freehold,Vacant,Land only,,0.001139,,Surplus / Non-operational / Under Review,,,,"2011, 2015, 2016, 2021, 2022",,
"Bristol, City of",7/1/2022,139407,Store/Depot/Warehouse,Castle Park - Parks Depot,Castle Park - Parks Depot Castle Park Newgate Bristol BS1 3XB,,Newgate,Bristol,BS1 3XB,Central,359198.0,173166.0,Freehold,,Land and Building(s),74.6,0.013439,Yes,Direct Service,F,2000.0,,"2010, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,139541,Land-Amenity,Lampton Avenue - Land Adjoining 16,Lampton Avenue - Land Adjoining 16 Lampton Avenue Hartcliffe Bristol BS13 0PT,,,,BS13 0PT,Hengrove & Whitchurch Park,359005.0,167425.0,Freehold,,Land only,,0.012552,Yes,Direct Service,,,,"2011, 2012, 2013, 2016, 2017, 2020, 2021",,
"Bristol, City of",7/1/2022,135053,Offices,Brunel Building - 2 Rooms,Brunel Building - 2 Rooms Southmead Hospital Southmead Road Bristol BS10 5NB,,,,BS10 5NB,Horfield,359027.0,177581.0,Leasehold,,Building(s) only,,0.003911,Yes,Direct Service,,,"Private Parking, Modern Kitchen","2011, 2016, 2020, 2021, 2025",,
"Bristol, City of",7/1/2022,185,Offices,Bristol Education Centre,Bristol Education Centre Sheridan Road Horfield Bristol BS7 0PU,,Sheridan Road,Bristol,BS7 0PU,Horfield,360009.0,177967.0,Freehold,,Land and Building(s),1806.3,0.682713,Yes,Direct Service,B,1200.0,"Modern Kitchen, Private Parking","2010, 2015, 2016, 2019, 2021",406905.51,
"Bristol, City of",7/1/2022,138439,Offices,Queen Anne House,Queen Anne House 66-73 Queen Square And 22-26 King Street And Land On The West Side Of King William Avenue City Centre Bristol BS1 4JP,69.0,Queen Square,Bristol,BS1 4JP,Central,358731.0,172664.0,Freehold,,Land and Building(s),,0.184853,,Investment Properties,,,"Meeting Rooms, Modern Kitchen","2011, 2016, 2021, 2025",,
"Bristol, City of",7/1/2022,139256,House/Houses,Cherry Blossom House,Cherry Blossom House 8 Bracton Drive Hengrove Bristol BS14 9QW,8.0,Bracton Drive,Bristol,BS14 9QW,Hengrove & Whitchurch Park,360356.0,168039.0,Freehold,,Land and Building(s),179.0,0.035958,Yes,Direct Service,G,2200.0,,"2010, 2012, 2016, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,139520,Land-Amenity,Bangrove Walk - Amenity Area,Bangrove Walk - Amenity Area Long Cross Lawrence Weston Bristol BS11 0EZ,,,,BS11 0EZ,Avonmouth & Lawrence Weston,353484.0,177655.0,Freehold,,Land only,,0.179654,Yes,Direct Service,,,,"2016, 2017, 2018, 2021, 2024, 2025",,
"Bristol, City of",7/1/2022,139210,Land-Garden,Sheridan Road - Land Adjoining 39,Sheridan Road - Land Adjoining 39 Sheridan Road  Horfield Bristol  BS7 0PU,,,,BS7 0PU,Horfield,360112.0,177905.0,Freehold,,Land only,,0.003131,Yes,Direct Service,,,,"2010, 2011, 2015, 2016, 2017, 2021",,
"Bristol, City of",25/01/2016,953,E P Home/Dwellings,Maesknoll EPH,,,,,BS14 ,Hengrove,,,Freehold,Vacant,Building,1532.0,0.755037,,Surplus,F,2000.0,,"2011, 2016, 2017, 2019, 2020, 2021",521159.93,
"Bristol, City of",25/01/2016,1064,Offices,York Court - Unit 6,,,,,BS2 ,Ashley,,,Leasehold,Vacant,Building,392.0,0.0,,Surplus,B,1200.0,"Meeting Rooms, Modern Kitchen","2012, 2013, 2015, 2016, 2018, 2021",291200.0,
"Bristol, City of",25/01/2016,979,House/Houses,Gay Elms Primary School House,,,,,BS13 ,Hartcliffe,,,Freehold,Vacant,Building,80.1,0.041073,Yes,Land and Buildings,F,2000.0,,"2015, 2016, 2019, 2021",291200.0,
"Bristol, City of",25/01/2016,1129,Industrial/Workshop,Bridge View House,Bridge View House Albert Road St Philips Marsh Bristol BS2 0XS,,Albert Road,Bristol,BS2 0XS,Lawrence Hill,360375.0,171829.0,Freehold,,Building,,0.005178,,Land and Buildings,,,"Storage Space, Security System","2010, 2012, 2014, 2016, 2021",,
"Bristol, City of",25/01/2016,1016,House Service Occupancy,Lansdown Park School Caretakers Bungalow,,,,,BS14 ,Stockwood,,,Freehold,Vacant,Building,84.0,0.047192,Yes,Land and Buildings,E,1800.0,,"2012, 2014, 2016, 2020, 2021, 2022, 2025",291200.0,
"Bristol, City of",25/01/2016,132560,Primary School,Compass Point - South Street Primary School And Childrens Centre,Compass Point - South Street Primary School And Childrens Centre South Street Bedminster Bristol BS3 3AU,,South Street,Bristol,BS3 3AU,Bedminster,358017.0,171210.0,Management Agreement,,Building,2831.0,1.372663,Yes,Land and Buildings,E,1800.0,,"2014, 2016, 2017, 2018, 2021",614354.45,
"Bristol, City of",25/01/2016,761,Childrens Homes,63a Silbury Road,63a Silbury Road Ashton Vale Bristol BS3 2QE,63.0,Silbury Road,Bristol,BS3 2QE,Bedminster,356558.0,170844.0,Freehold,,Building,189.0,0.123581,Yes,Land and Buildings,G,2200.0,,"2015, 2016, 2019, 2021, 2024",291200.0,
"Bristol, City of",25/01/2016,132561,Primary School,Ashton Vale Primary School,Ashton Vale Primary School Avebury Road Ashton Vale Bristol BS3 2QG,,Avebury Road,Bristol,BS3 2QG,Bedminster,356549.0,170734.0,Management Agreement,,Building,1521.7,0.913558,Yes,Land and Buildings,G,2200.0,,"2014, 2015, 2016, 2019, 2021, 2024",757917.16,
"Bristol, City of",25/01/2016,674,House Service Occupancy,The Kingfisher School House,The Kingfisher School House Lichfield Road St Annes Park Bristol BS4 4BJ,,Lichfield Road,Bristol,BS4 4BJ,Brislington East,362329.0,172510.0,Freehold,,Building,81.3,0.065707,,Land and Buildings,E,1800.0,,"2012, 2015, 2016, 2017, 2019, 2021",291200.0,
"Bristol, City of",25/01/2016,132559,Secondary School,Ashton Park Secondary School,Ashton Park Secondary School Blackmoors Lane Ashton Bristol BS3 2JL,,Blackmoors Lane,Bristol,BS3 2JL,Southville,356124.0,171480.0,Management Agreement,,Building,13730.27,10.766959,Yes,Land and Buildings,E,1800.0,,"2012, 2014, 2016, 2017, 2019, 2021, 2023",6691584.34,
"Bristol, City of",25/01/2016,684,House/Houses,Ashton Park School House,Ashton Park School House Blackmoors Lane Bristol BS3 2JL,,Blackmoors Lane,Bristol,BS3 2JJ,Southville,356347.0,171465.0,Freehold,,Building,116.7,0.035447,,Land and Buildings,G,2200.0,,"2016, 2018, 2021, 2022, 2024",291200.0,
"Bristol, City of",25/01/2016,690,Primary School,Princess Elizabeth Club - Former,Princess Elizabeth Club - Former 31-33 Myrtle Street Bedminster Bristol BS3 1JG,,Myrtle Street,Bristol,BS3 1JG,Southville,357787.0,171469.0,Freehold,,Building,239.0,0.109675,,Assets Under Construction,G,2200.0,,"2010, 2013, 2016, 2020, 2021",291200.0,
"Bristol, City of",25/01/2016,132564,Primary School,Luckwell Primary School,Luckwell Primary School Luckwell Road Bedminster Bristol BS3 3ET,,Luckwell Road,Bristol,BS3 3ET,Bedminster,357503.0,171111.0,Management Agreement,,Building,1502.4,0.781972,Yes,Land and Buildings,G,2200.0,,"2012, 2015, 2016, 2019, 2021, 2022",718540.44,
"Bristol, City of",25/01/2016,968,E P Home/Dwellings,Bowmead EPH,,,,,BS14 ,Stockwood,,,Freehold,Vacant,Building,1756.0,0.387334,Yes,Land and Buildings,E,1800.0,,"2016, 2018, 2019, 2021",344947.52,
"Bristol, City of",25/01/2016,969,Offices,Bowmead Bungalow,,,,,BS14 ,Stockwood,,,Freehold,Vacant,Building,94.5,0.074379,Yes,Land and Buildings,D,1600.0,"Modern Kitchen, Meeting Rooms","2010, 2016, 2017, 2021, 2022, 2025",291200.0,
"Bristol, City of",25/01/2016,585,Offices,Beam Street Former Adult Community Care Office,Beam Street Former Adult Community Care Office Beam Street Barton Hill Bristol BS5 9QY,,Beam Street,Bristol,BS5 9QY,Easton,361115.0,173056.0,Freehold,,Building,1568.6,0.248525,Yes,Land and Buildings,C,1400.0,"Meeting Rooms, Private Parking","2010, 2011, 2016, 2021, 2023",342233.02,
"Bristol, City of",25/01/2016,775,House/Houses,1 Knowle West Health Park,1 Knowle West Health Park Downton Road Knowle West Bristol BS4 1WH,,Downton Road,Bristol,BS4 1WH,Filwood,358712.0,170041.0,Freehold,,Building,,0.0,,Land and Buildings,,,,"2013, 2014, 2016, 2019, 2021",,
"Bristol, City of",25/01/2016,779,Training/Community/Further Education,The Park,The Park Daventry Road Knowle Bristol BS4 1DQ,,Daventry Road,Bristol,BS4 1DQ,Filwood,359700.0,170239.0,Freehold,,Building,5827.9,5.197463,,Land and Buildings,E,1800.0,,"2011, 2015, 2016, 2021",1988841.76,
"Bristol, City of",25/01/2016,872,Nursery School,Ilminster Avenue Specialist Nursery School And Childrens Centre,Ilminster Avenue Specialist Nursery School And Childrens Centre Ilminster Avenue Knowle Bristol BS4 1BX,,Ilminster Avenue,Bristol,BS4 1BX,Knowle,360068.0,169836.0,Freehold,,Building,2408.7,1.137951,Yes,Land and Buildings,G,2200.0,,"2012, 2013, 2015, 2016, 2021",915235.48,
"Bristol, City of",25/01/2016,883,Land-Unused Land,Site Of Bush Resource And Activity Centre And New Fosseway School - Development Site,Site Of Bush Resource And Activity Centre And New Fosseway School - Development Site New Fosseway Road Hengrove Bristol,12.0,New Fosseway Road,Bristol,BS14 9LN,Hengrove,361016.0,168996.0,Freehold,,Land,,3.455336,,Surplus,,,,"2011, 2013, 2015, 2016, 2021",,
"Bristol, City of",25/01/2016,885,House/Houses,New Oak Primary School House,,,,,BS14 ,Hengrove,,,Freehold,Vacant,Building,90.5,0.039854,Yes,Land and Buildings,E,1800.0,,"2016, 2020, 2021, 2024",291200.0,
"Bristol, City of",25/01/2016,314,Youth Club/Centre,Ashley House,Ashley House Ashley Down Road Ashley Down Bristol BS7 9BG,,Ashley Down Road,Bristol,BS7 9BG,Ashley,359676.0,175237.0,Freehold,,Building,,0.431665,Yes,Land and Buildings,,,,"2014, 2016, 2020, 2021, 2023",,
"Bristol, City of",25/01/2016,321,House/Houses,Glenfrome Primary School House,Glenfrome Primary School House 9 Cottisford Road Eastville Bristol BS5 6TY,9.0,Cottisford Road,Bristol,BS5 6TY,Lockleaze,360901.0,175613.0,Freehold,,Building,87.3,0.0291,Yes,Land and Buildings,F,2000.0,,"2011, 2014, 2015, 2016, 2021, 2022",291200.0,
"Bristol, City of",25/01/2016,312,Primary School,Sefton Park Junior School,Sefton Park Junior School Ashley Down Road Ashley Down Bristol BS7 9BJ,,Ashley Down Road,Bristol,BS7 9BJ,Ashley,359675.0,175275.0,Freehold,,Building,1439.7,0.448809,Yes,Land and Buildings,F,2000.0,,"2011, 2013, 2015, 2016, 2021",625956.59,
"Bristol, City of",25/01/2016,101,E P Home/Dwellings,Rockwell EPH (PwD),,,,,BS11 ,Kingsweston,,,Freehold,Vacant,Building,1470.0,0.585782,,Surplus,G,2200.0,,"2011, 2013, 2014, 2016, 2018, 2020, 2021",591163.85,
"Bristol, City of",25/01/2016,102,E P Home/Dwellings,The Willows (Rockwell Bungalow),,,,,BS11 ,Kingsweston,,,Freehold,Vacant,Building,164.0,0.01818,,Surplus,G,2200.0,,"2010, 2014, 2016, 2019, 2021",291200.0,
"Bristol, City of",25/01/2016,500,Nursery School,St James And St Agnes Nursery School - Former,St James And St Agnes Nursery School - Former Halston Drive St Pauls Bristol BS2 9JE,,Halston Drive,Bristol,BS2 9JE,Ashley,359726.0,173977.0,Freehold,,Building,,0.025653,Yes,Land and Buildings,,,,"2013, 2015, 2016, 2018, 2021",,
"Bristol, City of",25/01/2016,354,Primary School,Chester Park Junior School,Chester Park Junior School Lodge Causeway Fishponds Bristol BS16 3QG,,Ridgeway Road,Bristol,BS16 3QG,Hillfields,363214.0,175182.0,Freehold,,Building,1062.9,0.279682,Yes,Land and Buildings,E,1800.0,,"2013, 2016, 2021, 2022",504192.12,
"Bristol, City of",25/01/2016,281,Community Centre/Facilities,Oldbury Court Community Centre,,,,,BS16 ,Frome Vale,,,Freehold,Vacant,Building,533.2,0.1627,,Surplus,F,2000.0,,"2013, 2016, 2019, 2021",291200.0,
"Bristol, City of",25/01/2016,123923,Offices,Parkview Office Campus - Ground Floor (Pt)/2nd Floor (Pt),Parkview Office Campus - Ground Floor (Pt)/2nd Floor (Pt) Whitchurch Lane Whitchurch Bristol BS14 0TJ,,Whitchurch Lane,Bristol,BS14 0TJ,Whitchurch Park,359123.0,168105.0,Leasehold,,Building,6018.3,0.709951,Yes,Land and Buildings,D,1600.0,"Private Parking, Meeting Rooms","2012, 2015, 2016, 2018, 2021, 2022",1777498.06,
"Bristol, City of",25/01/2016,447,House Service Occupancy,Bristol Brunel Academy - School House,Bristol Brunel Academy - School House Duncombe Lane Speedwell Bristol BS15 1NR,,Duncombe Lane,Bristol,BS15 1NR,Hillfields,363546.0,174434.0,Freehold,,Building,,0.04453,Yes,Land and Buildings,,,,"2010, 2012, 2016, 2019, 2021, 2024",,
"Bristol, City of",25/01/2016,375,Library,Cheltenham Road Library,Cheltenham Road Library Cheltenham Road Cotham Bristol BS6 5QX,,Cheltenham Road,Bristol,BS6 5QX,Cotham,358959.0,174485.0,Freehold,,Building,938.1,0.139023,Yes,Land and Buildings,F,2000.0,,"2016, 2018, 2019, 2021, 2025",355365.04,
"Bristol, City of",25/01/2016,376,Library,The Bindery Service,The Bindery Service Cheltenham Road Library Cheltenham Road Bristol BS6 5QX,,Cheltenham Road,Bristol,BS6 5QX,Cotham,358958.0,174488.0,Freehold,,Building,,0.000313,Yes,Land and Buildings,,,,"2012, 2016, 2017, 2020, 2021, 2025",,
"Bristol, City of",25/01/2016,262,House/Houses,Stoke Park Primary School House,Stoke Park Primary School House 177 Romney Avenue Lockleaze Bristol BS7 9SU,,Romney Avenue,Bristol,BS7 9SU,Lockleaze,360842.0,176562.0,Freehold,,Building,97.0,0.051892,Yes,Land and Buildings,G,2200.0,,"2011, 2016, 2021, 2022",291200.0,
"Bristol, City of",25/01/2016,265,Day Centre,Lockleaze Day Centre,,,,,BS7 ,Lockleaze,,,Freehold,Vacant,Building,1561.3,0.598609,,Surplus,E,1800.0,,"2014, 2015, 2016, 2017, 2021, 2023, 2024",716394.87,
"Bristol, City of",25/01/2016,181,E P Home/Dwellings,St Peters Elderly Persons Home,,,,,BS10 ,Horfield,,,Freehold,Vacant,Building,1207.0,0.3353,,Surplus,F,2000.0,,"2011, 2013, 2016, 2018, 2021, 2024",364072.52,
"Bristol, City of",25/01/2016,208,House/Houses,Frome Vale Academy School House,Frome Vale Academy School House Frenchay Road Downend Bristol BS16 2QS,,Frenchay Road,Bristol,BS16 2QS,Frome Vale,364246.0,176933.0,Freehold,,Building,91.6,0.039036,,Land and Buildings,F,2000.0,,"2015, 2016, 2019, 2021, 2022",291200.0,
"Bristol, City of",25/01/2016,121242,Offices,Greenway Centre - Units 11 And 12,Greenway Centre - Units 11 And 12 Doncaster Road Southmead Bristol BS10 5PY,,Doncaster Road,Bristol,BS10 5PY,Southmead,357764.0,177985.0,Leasehold,,Building,,0.000313,Yes,Land and Buildings,,,"Private Parking, Meeting Rooms","2010, 2014, 2016, 2021",,
"Bristol, City of",25/01/2016,8303,Offices,Brunel House,Brunel House St Georges Road Bristol BS1 5UY,,St Georges Road,Bristol,BS1 5UY,Cabot,358206.0,172828.0,Leasehold,,Building,7393.0,0.475094,Yes,Land and Buildings,A,1000.0,"Meeting Rooms, Modern Kitchen","2016, 2018, 2020, 2021, 2025",3586314.33,
"Bristol, City of",25/01/2016,79602,Training/Community/Further Education,The I City Learning Centre,The I City Learning Centre Filton Road Horfield Bristol BS7 0XY,,Filton Road,Bristol,BS7 0XY,Horfield,359856.0,177969.0,Freehold,,Building,,0.051876,Yes,Land and Buildings,,,,"2010, 2011, 2014, 2016, 2021, 2024",,
"Bristol, City of",25/01/2016,79822,Sports Building/Hall/Facility,Henbury Sports And Social Club,,,,,BS10 ,Henbury,,,Freehold,Vacant,Building,72.97,0.236187,,Land and Buildings,E,1800.0,,"2010, 2012, 2016, 2017, 2018, 2021",291200.0,
"Bristol, City of",25/01/2016,128925,Community Centre/Facilities,The Gatehouse Centre - Room 2,The Gatehouse Centre - Room 2 Hareclive Road Bristol BS13 9JN,,Hareclive Road,Bristol,BS13 9JN,Hartcliffe,357593.0,168341.0,Leasehold,,Building,,0.060687,,Land and Buildings,,,,"2016, 2020, 2021, 2024",,
